original_taxon	input_genus	input_species	gtdb_accession	match_status	gtdb_species	gtdb_genus	gtdb_family	gtdb_order	gtdb_class	gtdb_phylum	gtdb_taxonomy
g__Veillonella.s__Veillonella_parvula	g__Veillonella	s__Veillonella parvula	RS_GCF_000024945.1	exact_species_match	s__Veillonella parvula	g__Veillonella	f__Veillonellaceae	o__Veillonellales	c__Negativicutes	p__Bacillota	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella parvula
g__Veillonella.s__Veillonella_rogosae	g__Veillonella	s__Veillonella rogosae	RS_GCF_002959775.1	exact_species_match	s__Veillonella rogosae	g__Veillonella	f__Veillonellaceae	o__Veillonellales	c__Negativicutes	p__Bacillota	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella rogosae
g__Veillonella.s__Veillonella_seminalis	g__Veillonella	s__Veillonella seminalis	RS_GCF_003992065.1	ncbi_organism_name_match	s__Veillonella_A seminalis	g__Veillonella_A	f__Veillonellaceae	o__Veillonellales	c__Negativicutes	p__Bacillota	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella_A;s__Veillonella_A seminalis
g__Veillonella.s__Veillonella_sp_CAG_933	g__Veillonella	s__Veillonella sp CAG 933		genus_match_only							
g__Veillonella.s__Veillonella_tobetsuensis	g__Veillonella	s__Veillonella tobetsuensis	RS_GCF_001078375.1	exact_species_match	s__Veillonella tobetsuensis	g__Veillonella	f__Veillonellaceae	o__Veillonellales	c__Negativicutes	p__Bacillota	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella tobetsuensis
g__Victivallales_unclassified.s__Victivallales_bacterium_CCUG_44730	g__Victivallales_unclassified	s__Victivallales_unclassified Victivallales bacterium CCUG 44730		no_species_or_genus_match							
g__Victivallis.s__Victivallis_vadensis	g__Victivallis	s__Victivallis vadensis	RS_GCF_003096415.1	exact_species_match	s__Victivallis vadensis	g__Victivallis	f__Victivallaceae	o__Victivallales	c__Lentisphaeria	p__Verrucomicrobiota	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallis;s__Victivallis vadensis
g__Weissella.s__Weissella_cibaria	g__Weissella	s__Weissella cibaria	RS_GCF_000193635.1	exact_species_match	s__Weissella cibaria	g__Weissella	f__Lactobacillaceae	o__Lactobacillales	c__Bacilli	p__Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella cibaria
g__Weissella.s__Weissella_confusa	g__Weissella	s__Weissella confusa	RS_GCF_007991875.1	exact_species_match	s__Weissella confusa	g__Weissella	f__Lactobacillaceae	o__Lactobacillales	c__Bacilli	p__Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella confusa
g__Weissella.s__Weissella_viridescens	g__Weissella	s__Weissella viridescens	RS_GCF_001437355.1	exact_species_match	s__Weissella viridescens	g__Weissella	f__Lactobacillaceae	o__Lactobacillales	c__Bacilli	p__Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella viridescens
